12.4; 605917; 471830; -0.0443295; -0.0439495; -0.0500219; -0.0496464; -0.0579996
12.6; 596947; 471073; -0.0536894; -0.0533581; -0.0598243; -0.0594992; -0.0685286
12.8; 586128; 468226; -0.0635199; -0.0632289; -0.0700768; -0.069793; -0.0795035
13; 574035; 464768; -0.0738916; -0.0736162; -0.0807973; -0.0805328; -0.0908409
13.2; 562505; 462161; -0.0848715; -0.0845905; -0.0919887; -0.091724; -0.102413
13.4; 553007; 461331; -0.0963996; -0.096125; -0.10356; -0.1033; -0.114069
13.6; 545401; 464184; -0.108266; -0.108003; -0.11532; -0.115068; -0.125639
13.8; 538754; 468070; -0.120164; -0.119905; -0.127006; -0.126756; -0.136947
14; 532309; 470874; -0.131758; -0.131492; -0.138327; -0.138072; -0.147788
14.2; 525687; 471486; -0.142768; -0.142493; -0.149037; -0.148774; -0.157995
14.4; 519348; 470566; -0.153067; -0.15277; -0.159009; -0.158721; -0.167426
14.6; 513755; 469399; -0.162643; -0.162304; -0.168195; -0.167867; -0.175987
14.8; 509218; 469523; -0.17152; -0.17113; -0.176585; -0.176205; -0.183585
15; 506182; 470526; -0.179683; -0.179243; -0.184139; -0.183709; -0.19014
15.2; 505425; 471973; -0.187015; -0.186518; -0.190757; -0.190271; -0.195566
15.4; 506345; 474259; -0.193308; -0.192765; -0.196271; -0.195737; -0.199771
15.6; 507923; 476529; -0.198346; -0.197742; -0.200517; -0.199924; -0.202682
15.8; 509713; 477857; -0.201956; -0.201284; -0.203365; -0.202699; -0.20424
16; 511942; 477888; -0.204092; -0.203351; -0.20477; -0.204034; -0.20443
16.2; 514769; 476937; -0.204832; -0.204011; -0.20479; -0.203973; -0.203263
16.4; 518581; 476111; -0.204274; -0.203374; -0.203493; -0.202592; -0.200746
16.6; 523925; 476249; -0.202494; -0.201509; -0.200929; -0.199942; -0.196877
16.8; 530211; 477853; -0.199515; -0.198455; -0.197132; -0.196069; -0.191713
17; 536259; 480019; -0.195315; -0.194188; -0.192129; -0.190999; -0.185359
17.2; 541841; 481929; -0.189845; -0.188656; -0.185939; -0.184746; -0.177954
17.4; 547422; 482356; -0.183111; -0.181864; -0.178603; -0.177353; -0.169606
17.6; 553119; 480383; -0.175211; -0.173914; -0.170219; -0.168916; -0.160418
17.8; 559509; 477403; -0.16632; -0.16497; -0.160929; -0.159574; -0.150476
18; 567284; 474641; -0.156642; -0.155247; -0.150905; -0.149504; -0.139887
18.2; 575915; 472960; -0.146384; -0.144949; -0.140329; -0.138888; -0.128788
18.4; 584650; 472557; -0.135685; -0.134219; -0.129346; -0.127883; -0.117343
18.6; 592969; 472748; -0.124604; -0.123182; -0.11806; -0.116631; -0.105733
18.8; 600813; 471669; -0.113287; -0.111849; -0.106641; -0.105198; -0.0941345
19; 608355; 469173; -0.101774; -0.100343; -0.0951733; -0.0937164; -0.0827117
19.2; 615926; 466399; -0.0902187; -0.0887823; -0.0837792; -0.0823381; -0.0716084
19.4; 623821; 463449; -0.0788018; -0.0773814; -0.0726482; -0.0712252; -0.060963
19.6; 631694; 460451; -0.0677522; -0.066359; -0.0619724; -0.0605596; -0.0508971
19.8; 638777; 458042; -0.0572933; -0.0559203; -0.051921; -0.0505351; -0.0415365
20; 644584; 456423; -0.0475861; -0.046243; -0.0426544; -0.041302; -0.0330073
20.2; 649047; 455642; -0.0387252; -0.0374181; -0.0342794; -0.0329554; -0.0254215
20.4; 651991; 455358; -0.0307527; -0.0294993; -0.0268499; -0.0255775; -0.0188881
20.6; 653257; 454586; -0.0237181; -0.0225149; -0.0204328; -0.0192189; -0.0134997
20.8; 652986; 452807; -0.0176748; -0.0165407; -0.0150951; -0.0139406; -0.00932233
21; 651052; 450175; -0.0127345; -0.0116719; -0.0109143; -0.00983814; -0.00641819
21.2; 647343; 447247; -0.00901144; -0.0080346; -0.00798519; -0.00699827; -0.00482941
21.4; 642183; 444704; -0.00662625; -0.00571737; -0.00639626; -0.00547359; -0.00456197
21.6; 635902; 443185; -0.00562261; -0.00479032; -0.00616107; -0.00531979; -0.00561641
21.8; 628985; 442566; -0.00600996; -0.00523741; -0.00728805; -0.00650918; -0.00796758
22; 621963; 442229; -0.00772143; -0.00702058; -0.00971138; -0.00900497; -0.0115697
22.2; 614358; 441569; -0.0106825; -0.0100783; -0.0133703; -0.0127624; -0.0164009
22.4; 605832; 440767; -0.0148742; -0.0143336; -0.0182675; -0.017726; -0.0224705
22.6; 597127; 439737; -0.0202401; -0.0197803; -0.0243461; -0.0238819; -0.0297429
22.8; 588471; 438180; -0.0267613; -0.0263652; -0.0315915; -0.0310957; -0.0380702
23; 580390; 436669; -0.0343831; -0.0340473; -0.0397986; -0.03939; -0.0472982
23.2; 572988; 435823; -0.0430604; -0.0426737; -0.0489191; -0.0485623; -0.0572433
