0.004; 1221.56; 3156.9; 2.36546e-06; 2.7455e-06; 2.35551e-06; 2.72667e-06; 2.71872e-06
0.2; 74561.3; 132943; 0.000865212; -0.000237951; 0.000865686; -0.000258384; 0.00114985
0.4; 369449; 517489; -0.000712279; -4.76366e-05; -0.000679901; -3.9842e-05; 0.000327297
0.6; 625920; 597931; -0.00370702; -0.00338273; -0.00357412; -0.00327879; -0.00201211
0.8; 684136; 461822; -0.0080296; -0.00879763; -0.00829906; -0.00851311; -0.00667372
1; 753530; 455658; -0.0125974; -0.011942; -0.0131146; -0.0127496; -0.012688
1.2; 797029; 537680; -0.0141513; -0.0136751; -0.0160942; -0.0151123; -0.0173762
1.4; 782991; 532718; -0.014109; -0.0130873; -0.0162674; -0.0161608; -0.0197146
1.6; 753385; 519112; -0.0129574; -0.0126162; -0.0161592; -0.0151948; -0.0198267
1.8; 742483; 518021; -0.0135045; -0.0122304; -0.0157747; -0.0150126; -0.0189276
2; 742005; 512868; -0.0153885; -0.0146836; -0.0173689; -0.0163202; -0.0188875
2.2; 733057; 504420; -0.0198416; -0.0190383; -0.0208942; -0.0204667; -0.0214628
2.4; 708658; 515275; -0.0252578; -0.0246996; -0.0264256; -0.0259055; -0.0266618
2.6; 691673; 530140; -0.0305088; -0.0298205; -0.0322337; -0.0314634; -0.0332163
2.8; 691428; 532843; -0.0343391; -0.0335291; -0.0367301; -0.0360248; -0.0391849
3; 707285; 535377; -0.036614; -0.0358041; -0.0397192; -0.0388811; -0.0433976
3.2; 724624; 533712; -0.0383218; -0.0374454; -0.0416833; -0.0408151; -0.0459946
3.4; 737338; 530637; -0.040808; -0.0397831; -0.0440099; -0.0430192; -0.0480423
3.6; 738240; 526796; -0.0447864; -0.0438644; -0.0476497; -0.0466997; -0.0509756
3.8; 719015; 526416; -0.0503857; -0.0495874; -0.0529236; -0.0521281; -0.0556153
4; 686566; 532175; -0.0568361; -0.0561065; -0.0592872; -0.0586015; -0.0617628
4.2; 657761; 533501; -0.062879; -0.0622514; -0.0655526; -0.0649323; -0.0683311
4.4; 644741; 530485; -0.0678048; -0.0671527; -0.0708119; -0.0701745; -0.0742009
4.6; 647709; 526596; -0.0715581; -0.0708355; -0.0748409; -0.0741751; -0.0788381
4.8; 656650; 523947; -0.0748421; -0.074065; -0.0782853; -0.0775273; -0.0826017
5; 663406; 522074; -0.0787249; -0.0778916; -0.08214; -0.0813197; -0.0864581
5.2; 662850; 521591; -0.0838686; -0.0830529; -0.0871268; -0.0863467; -0.0911918
5.4; 652913; 522681; -0.0902253; -0.0894765; -0.0933419; -0.0926143; -0.0970997
5.6; 636249; 524727; -0.0970723; -0.0963817; -0.100122; -0.0994618; -0.10369
5.8; 620796; 524662; -0.103467; -0.102826; -0.106545; -0.10594; -0.110108
6; 612786; 522654; -0.108762; -0.108137; -0.111931; -0.111334; -0.115639
6.2; 610349; 518925; -0.113018; -0.112368; -0.116266; -0.115648; -0.120159
6.4; 608365; 514224; -0.11689; -0.116203; -0.120169; -0.11952; -0.124203
6.6; 604726; 509509; -0.121236; -0.12047; -0.124476; -0.123746; -0.128477
6.8; 598737; 507621; -0.126475; -0.125711; -0.129615; -0.128886; -0.133473
7; 591993; 509312; -0.132562; -0.131823; -0.135574; -0.134873; -0.139194
7.2; 586543; 512211; -0.138873; -0.13819; -0.141772; -0.141127; -0.145151
7.4; 583318; 513821; -0.144684; -0.144027; -0.147509; -0.146892; -0.150708
7.6; 581295; 513008; -0.149519; -0.148891; -0.152311; -0.15172; -0.155434
7.8; 578356; 509436; -0.153454; -0.152803; -0.156226; -0.155614; -0.15934
8; 572872; 503877; -0.156978; -0.156301; -0.159714; -0.159078; -0.16283
8.2; 565258; 498908; -0.160742; -0.160003; -0.163399; -0.1627; -0.166424
8.4; 557482; 497231; -0.165068; -0.164318; -0.167595; -0.166886; -0.170438
8.6; 552097; 498798; -0.16989; -0.169141; -0.17225; -0.171544; -0.174803
8.8; 550639; 501664; -0.174763; -0.174041; -0.176944; -0.176265; -0.179159
9; 551661; 504038; -0.179148; -0.178449; -0.181172; -0.180516; -0.183072
9.2; 551913; 503642; -0.182691; -0.182006; -0.184602; -0.183959; -0.186288
9.4; 549488; 500319; -0.185442; -0.184748; -0.187278; -0.186626; -0.188848
9.6; 544072; 495231; -0.18776; -0.187044; -0.189525; -0.188852; -0.191023
9.8; 536921; 490483; -0.190091; -0.189329; -0.191756; -0.191036; -0.193127
10; 530966; 489130; -0.192688; -0.191895; -0.194197; -0.193447; -0.19534
10.2; 528329; 490836; -0.195525; -0.194718; -0.196828; -0.196065; -0.197622
10.4; 528937; 493487; -0.198303; -0.197505; -0.199378; -0.198625; -0.199763
10.6; 530982; 495540; -0.200641; -0.199849; -0.201514; -0.200763; -0.201511
10.8; 531854; 495050; -0.202264; -0.201484; -0.202983; -0.202247; -0.202704
11; 529967; 492000; -0.20318; -0.202398; -0.203803; -0.203061; -0.203362
11.2; 525840; 487441; -0.203639; -0.202841; -0.204179; -0.203423; -0.20364
11.4; 521411; 483393; -0.20397; -0.203122; -0.204402; -0.203593; -0.203706
11.6; 518190; 481824; -0.204361; -0.203488; -0.204627; -0.203795; -0.203687
11.8; 517250; 482924; -0.204835; -0.203944; -0.204883; -0.204032; -0.20358
12; 518708; 485335; -0.205211; -0.204304; -0.205018; -0.20415; -0.203283
12.2; 521137; 487104; -0.20521; -0.204307; -0.204801; -0.203936; -0.202672
12.4; 522292; 486459; -0.204637; -0.203736; -0.204068; -0.203204; -0.201648
12.6; 521176; 483590; -0.203454; -0.202546; -0.202784; -0.201912; -0.200193
12.8; 519174; 479684; -0.20181; -0.200882; -0.201065; -0.200173; -0.198367
13; 517310; 475993; -0.199932; -0.198979; -0.1991; -0.198178; -0.196281
13.2; 516126; 474165; -0.198011; -0.197051; -0.197047; -0.196111; -0.194034
13.4; 516573; 474182; -0.196135; -0.195138; -0.194975; -0.194016; -0.191649
13.6; 518504; 475378; -0.194181; -0.193164; -0.192806; -0.19182; -0.189092
13.8; 520552; 476858; -0.191958; -0.19094; -0.19038; -0.189393; -0.186306
14; 521898; 477011; -0.189303; -0.188286; -0.187576; -0.186589; -0.183232
14.2; 522163; 475232; -0.18615; -0.18513; -0.184336; -0.183345; -0.17984
14.4; 521691; 471996; -0.182586; -0.181554; -0.180724; -0.179721; -0.17616
14.6; 521300; 468330; -0.178793; -0.177745; -0.176882; -0.175857; -0.172253
14.8; 521626; 465942; -0.174941; -0.173873; -0.172943; -0.171902; -0.168193
15; 522971; 465377; -0.171116; -0.170034; -0.168989; -0.167929; -0.164029
15.2; 525114; 466139; -0.167283; -0.166185; -0.164995; -0.16392; -0.159759
15.4; 527390; 467187; -0.163303; -0.1622; -0.16086; -0.159781; -0.155349
15.6; 529499; 467394; -0.159043; -0.157941; -0.15649; -0.15541; -0.150776
15.8; 531312; 465934; -0.154439; -0.153336; -0.151833; -0.150752; -0.146025
16; 532775; 463085; -0.149531; -0.148425; -0.146921; -0.145834; -0.141109
16.2; 533889; 459760; -0.144453; -0.143339; -0.141852; -0.140756; -0.136067
16.4; 535240; 457340; -0.139353; -0.138228; -0.136739; -0.135631; -0.13095
16.6; 537374; 456302; -0.134327; -0.133185; -0.13166; -0.130535; -0.125789
16.8; 540115; 456467; -0.129366; -0.128229; -0.126618; -0.125491; -0.120605
17; 543184; 457150; -0.124406; -0.123261; -0.12157; -0.120437; -0.115399
17.2; 546383; 457319; -0.119331; -0.118186; -0.116438; -0.115306; -0.110161
17.4; 549577; 456626; -0.114077; -0.112934; -0.111179; -0.110049; -0.104886
17.6; 552521; 454679; -0.108655; -0.107518; -0.105804; -0.104676; -0.0995874
17.8; 555082; 451894; -0.103159; -0.102025; -0.10038; -0.0992522; -0.0942913
18; 557557; 449530; -0.0977132; -0.0965663; -0.0949985; -0.0938588; -0.0890251
18.2; 560467; 448021; -0.0924007; -0.0912487; -0.0897209; -0.088575; -0.083812
18.4; 563880; 447579; -0.087251; -0.0860996; -0.0845744; -0.0834268; -0.0786704
18.6; 567747; 447922; -0.0822181; -0.0810841; -0.0795358; -0.0783976; -0.0736138
18.8; 571878; 448248; -0.07723; -0.0761182; -0.0745553; -0.0734399; -0.0686473
19; 575911; 447937; -0.0722407; -0.0711306; -0.0696153; -0.0685009; -0.0637779
19.2; 579499; 446535; -0.0672339; -0.0661296; -0.0647042; -0.0635946; -0.0590227
19.4; 582661; 444509; -0.0622628; -0.0611696; -0.0598595; -0.0587601; -0.0543965
19.6; 585682; 442705; -0.0574244; -0.056328; -0.0551554; -0.054042; -0.0499051
19.8; 588848; 441444; -0.0527911; -0.0516977; -0.0506297; -0.0495171; -0.0455625
