16,01,14,10,00,00,0.22,0.24,0.20,0.34, 3.2, 4.3, 4.1, 3.0, 171,  8.313,   0.089,   316
16,01,14,10,20,00,0.22,0.21,0.18,0.32, 2.9, 3.7, 4.0, 3.0, 135,  8.580,   0.093,   335
16,01,14,10,40,00,0.21,0.22,0.18,0.32, 2.8, 5.0, 5.3, 5.0, 183,  8.849,   0.123,   327
16,01,14,11,00,00,0.16,0.18,0.14,0.29, 2.7, 6.7, 6.4,11.0, 168,  9.094,   0.153,    42
16,01,14,11,20,00,0.16,0.18,0.15,0.22, 8.8, 9.1, 8.7, 9.0, 123,  9.341,   0.334,    44
16,01,14,11,40,00,0.12,0.14,0.12,0.18, 9.5, 8.9, 7.7, 9.0, 217,  9.568,   0.293,    53
16,01,14,12,00,00,0.12,0.15,0.13,0.19,10.2, 9.1, 8.9, 8.0, 139,  9.765,   0.303,    39
16,01,14,12,20,00,-0.00,0.13,0.10,0.17,-0.1, 8.9, 8.2, 9.0,  -1,  9.978,   0.369,    28
16,01,14,12,40,00,0.13,0.14,0.12,0.17,12.2, 9.8, 9.3,12.0, 135, 10.113,   0.342,    35
16,01,14,13,00,00,0.10,0.12,0.10,0.18,13.5,10.2, 9.6,14.0,  99, 10.234,   0.370,    32
16,01,14,13,20,00,0.13,0.15,0.12,0.18,11.1,10.8, 9.8,13.0, 119, 10.320,   0.259,    38
16,01,14,13,40,00,0.15,0.16,0.13,0.21,13.5,10.9, 9.6,10.0, 111, 10.406,   0.274,    31
16,01,14,14,00,00,0.14,0.16,0.13,0.19,13.5,11.0, 9.9,13.0,  63, 10.413,   0.236,    37
16,01,14,14,20,00,0.13,0.14,0.12,0.18,13.5,11.6,10.4,15.0, 163, 10.341,   0.183,    40
16,01,14,14,40,00,-0.00,0.10,0.09,0.12,-0.1,11.1,10.7,11.0,  -1, 10.254,   0.143,    49
16,01,14,15,00,00,0.14,0.15,0.13,0.21, 3.2, 5.3, 8.1, 2.0,  96, 10.141,   0.058,    85
16,01,14,15,20,00,-0.00,0.11,0.09,0.15,-0.1,11.0,10.1,11.0,  -1, 10.014,   0.025,    78
16,01,14,15,40,00,0.14,0.16,0.13,0.18, 3.4, 9.5, 9.8,10.0, 179,  9.817,   0.060,   180
16,01,14,16,00,00,0.11,0.14,0.11,0.23,12.2, 6.7, 8.1, 5.0, 217,  9.635,   0.200,   219
16,01,14,16,20,00,0.12,0.14,0.12,0.17,12.2,11.0,10.9,13.0, 152,  9.401,   0.244,   228
16,01,14,16,40,00,0.10,0.11,0.10,0.14,12.2,10.8,11.5, 9.0, 217,  9.142,   0.222,   253
16,01,14,17,00,00,0.11,0.13,0.11,0.16,11.1,11.4,12.5,12.0, 231,  8.877,   0.132,   294
16,01,14,17,20,00,0.10,0.12,0.10,0.17,11.1,12.7,11.6,23.0, 217,  8.609,   0.097,   312
16,01,14,17,40,00,0.13,0.15,0.12,0.17,11.1,10.0,10.2, 7.0, 347,  8.353,   0.127,   332
16,01,14,18,00,00,0.11,0.11,0.10,0.13, 9.5,10.4, 9.1,11.0, 217,  8.128,   0.143,   314
16,01,14,18,20,00,0.11,0.13,0.11,0.17,10.2,11.1,11.0,11.0, 217,  7.886,   0.158,     0
16,01,14,18,40,00,-0.00,0.10,0.08,0.12,-0.1,11.4,10.8,10.0,  -1,  7.664,   0.170,    16
